1.787597,1.292456,1.097130,1.284339,1.392480,1.149527,0.980085,1.160931,1.224045,0.924765,0.693941,0.539617,0.443941,0.476141,0.424347,0.328101

1.612928,1.211065,1.079940,1.344610,1.511437,1.248596,1.082050,1.514550,1.775974,1.486778,1.134056,0.835272,0.641308,0.576325,0.385790,0.226128

1.264298,1.020817,0.848581,1.121066,1.250677,1.026893,0.883317,1.219932,1.370345,1.073738,0.845913,0.634354,0.485115,0.450868,0.269367,0.140276

1.121794,0.943213,0.811371,1.077042,1.253464,1.068275,0.947903,1.227645,1.375389,1.108061,0.912166,0.771662,0.632890,0.665087,0.398450,0.218759

0.615701,0.511948,0.451781,0.623502,0.734762,0.626431,0.564151,0.770000,0.859886,0.705943,0.596386,0.507833,0.427065,0.486222,0.344310,0.202458

1.021956,0.821109,0.644630,0.878872,0.984380,0.845107,0.760345,1.053421,1.216437,0.999424,0.836630,0.702123,0.596466,0.634362,0.317788,0.125494

0.134365,0.116816,0.100317,0.137724,0.162178,0.138567,0.126821,0.181396,0.203348,0.166799,0.140278,0.119020,0.105741,0.119917,0.063719,0.026007

0.181075,0.150049,0.132498,0.181555,0.215366,0.185896,0.168699,0.237184,0.266225,0.223140,0.184096,0.158299,0.137851,0.162522,0.081841,0.031347

0.681673,0.442577,0.361323,0.481027,0.573634,0.491811,0.439552,0.644500,0.730225,0.602824,0.491848,0.430672,0.365041,0.437783,0.232140,0.080815

1.226002,0.945411,0.781791,1.033274,1.208703,1.044627,0.942877,1.422527,1.571383,1.338173,1.145148,0.993412,0.848350,1.052295,0.581534,0.208228

0.131997,0.106979,0.096477,0.134825,0.160218,0.134133,0.122520,0.184462,0.214705,0.180088,0.151903,0.129897,0.111359,0.135997,0.074882,0.024656

0.049764,0.044211,0.039214,0.053529,0.064113,0.054310,0.048349,0.073029,0.083550,0.066855,0.056475,0.049082,0.042515,0.050914,0.028549,0.010042

0.605080,0.492643,0.460203,0.647545,0.776155,0.647779,0.571944,0.882112,0.996053,0.854353,0.723826,0.612935,0.536433,0.719285,0.545630,0.235666

1.045192,0.704046,0.619216,0.852365,1.061452,0.917515,0.801367,1.244422,1.439243,1.266787,1.079505,0.940591,0.799303,1.012481,0.664726,0.254970

